name,ring,quadrant,isNew,description 
Gradle,adopt,tools,FALSE,<p>Gradle is an open-source build-automation system that builds upon the concepts of Apache Ant and Apache Maven and introduces a Groovy-based domain-specific language (DSL) instead of the XML form used by Apache Maven for declaring the project configuration</p> 
Chaos Toolkit,adopt,tools,FALSE,"<p> <b>Chaos toolkit</b> is a tool that orchestrates chaos engineering scenarios, this is achieved through drivers that expose functions that allow access to the system and its capabilities either to inject faults or to know your state. <b>This tool defined in Bancolombia</b></p>"
Serenity BDD,adopt,language-and-frameworks,TRUE,"<p><b>Serenity BDD</b> helps you write cleaner and more maintainable automated acceptance and regression tests faster. Serenity also uses the test results to produce illustrated, narrative reports that document and describe what your application does and how it works. Serenity tells you not only what tests have been executed, but more importantly, what requirements have been tested.</p> "
Protractor,hold,tools,TRUE,"<p>Protractor is an end-to-end test framework for Angular and AngularJS applications. Protractor runs tests against your application running in a real browser, interacting with it as a user would</p> "
Selenium,hold,tools,FALSE,"<p><b>Selenium</b> is an umbrella project for a range of tools and libraries that enable and support the automation of web browsers.</br>Selenium brings together browser vendors, engineers, and enthusiasts to further an open discussion around automation of the web platform. The project organises an annual conference to teach and nurture the community. <br>At the core of Selenium is <b>WebDriver</b>, an interface to write instruction sets that can be run interchangeably in many browsers</p> "
Jest,adopt,language-and-frameworks,FALSE,"<p><b>Jest</b> is a delightful JavaScript Testing Framework with a focus on simplicity. It works with projects using: Babel, TypeScript, Node, React, Angular, Vue and more!<br> Jest is a JavaScript testing framework designed to ensure correctness of any JavaScript codebase. It allows you to write tests with an approachable, familiar and feature-rich API that gives you results quickly. <br> Jest is well-documented, requires little configuration and can be extended to match your requirements. Jest makes testing delightful.</p> "
CloudFormation,adopt,platforms,FALSE,"<p><a href=""https://aws.amazon.com/cloudformation/"">AWS CloudFormation</a> provides a common language for you to describe and provision all the infrastructure resources in your cloud environment. CloudFormation allows you to use programming languages or a simple text file to model and provision, in an automated and secure manner, all the resources needed for your applications across all regions and accounts. This gives you a single source of truth for your AWS resources </p> "
AWS CDK ,adopt,language-and-frameworks,FALSE,"<p><b>AWS Cloud Development Kit (AWS CDK)</b> is a software development framework for defining cloud infrastructure in code and provisioning it through AWS CloudFormation. <br>The AWS CDK supports TypeScript, JavaScript, Python, Java, and C#/.Net. </p>"
NodeJs ,trial ,language-and-frameworks,FALSE,"<p><strong>Node.js</strong> is an open-source, cross-platform, JavaScript runtime environment that executes JavaScript code outside of a browser. Node.js lets developers use JavaScript to write command line tools and for server-side scripting—running scripts server-side to produce dynamic web page content before the page is sent to the user's web browser</p> "
TypeScript/Javascript,adopt,language-and-frameworks,FALSE,"<p><strong><a href=""https://www.typescriptlang.org/"">TypeScript</a></strong>, a statically typed language and superset of JavaScript, has become our sensible default. Large-scale projects benefit most from the type safety. Our developers favor its minimal configuration management, well-integrated IDE support and its ability to refactor code safely and gradually adopt types. With its <a href=""https://definitelytyped.org/"">good repository</a> of TypeScript-type definitions at hand, we benefit from all the rich JavaScript libraries while gaining type safety.</p> "
React.js,assess,language-and-frameworks,FALSE,<p><b>React.js</b> is a JavaScript library for building user interfaces. It's declarative and Component-based.</p>
RxJS,adopt,language-and-frameworks,FALSE,"<p><b>RxJS</b> is a library for composing asynchronous and event-based programs by using observable sequences. It provides one core type, the Observable, satellite types (Observer, Schedulers, Subjects) and operators inspired by Array#extras (map, filter, reduce, every, etc) to allow handling asynchronous events as collections.</p>"
RPG,assess,language-and-frameworks,FALSE,"<p><b>RPG</b> is a high-level fully procedural programming language used by businesses to create commercial business applications on IBM’s leading minicomputer system, the AS400 or iSeries. RPG has gained wide acceptance and has evolved massively since its inception. Today several ERP’s and mission critical business applications, are written in RPG based on RPG IV, because it is enabled to provide an interactive programming environment to AS400 RPG Programmers.</p>"
Cobol,hold,language-and-frameworks,FALSE,"<p><b>COBOL</b> is a programming language that is mainly focused on solving a business problem. Full form of COBOL is Common Business-Oriented Language. It is primarily used in company and government business, finance, and administrative systems. This language also used as a solution to many data processing problems.</p>"
Xamarin ,hold,platforms,FALSE,"<p>Xamarin extends the .NET platform with tools and libraries specifically for building apps on iOS, Android, macOS, and more.</p> "
Flutter,assess,platforms,FALSE,"<p><b>Flutter</b> is Google’s UI toolkit for building beautiful, natively compiled applications for mobile, web, and desktop from a single codebase. It has an Expressive and Flexible UI, it brings Native Performance and it allows a fast development by using a rich set of fully-customizable widgets. </p>"
AngularJs,hold,language-and-frameworks,FALSE,"<p><b>AngularJS</b> lets you extend HTML vocabulary for your application. The resulting environment is extraordinarily expressive, readable, and quick to develop.<br>AngularJS is a toolset for building the framework most suited to your application development. It is fully extensible and works well with other libraries. Every feature can be modified or replaced to suit your unique development workflow and feature needs. Read on to find out how. </p>"
Angular,adopt,language-and-frameworks,FALSE,"<p><b>Angular</b> is an application design framework and development platform for creating efficient and sophisticated single-page apps. Angular provides one way to build applications and reuse your code and abilities to build apps for any deployment target. For web, mobile web, native mobile and native desktop. </p>"
Java,adopt,language-and-frameworks,FALSE,"<p>Java is a general-purpose programming language that is class-based, object-oriented, and designed to have as few implementation dependencies as possible. It is intended to let application developers write once, run anywhere (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation</p>"
Python,trial,language-and-frameworks,FALSE,"<p>Python is an interpreted, high-level, general-purpose programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable use of significant whitespace. Its language constructs and object-oriented approach aim to help programmers write clear, logical code for small and large-scale projects</p> "
Mockito,adopt,language-and-frameworks,FALSE,<p>Mockito is a mocking framework for java. It lets you write tests with a clean and simple API. Mockito doesn’t give you hangover because the tests are very readable and they produce clean verification errors</p> 
PowerMock,assess,language-and-frameworks,FALSE,"<p>PowerMock is a framework that extends other mock libraries such as EasyMock with more powerful capabilities. PowerMock uses a custom classloader and bytecode manipulation to enable mocking of static methods, constructors, final classes and methods, private methods, removal of static initializers and more<p> "
Elixir - Erlang/OTP,assess,language-and-frameworks,FALSE,"<p>Elixir is an alternative language for the Erlang virtual machine that allows you to write cleaner, more compact code that does a better job of revealing your intentions. You write programs in Elixir and run them normally in BEAM.<br> Elixir targets the Erlang runtime. The result of compiling the Elixir source code is BEAM-compliant bytecode files that can run in a BEAM instance and can normally cooperate with pure Erlang code — you can use Erlang libraries from Elixir and vice versa. There’s nothing you can do in Erlang that can’t be done in Elixir, and usually the Elixir code is as performant as its Erlang counterpart.<br> Elixir provides constructs that make it possible to radically reduce boilerplate and duplication. <br> Elixir solution is usually easier to develop and maintain thanks to some nice syntactic sugar and a uniform tool for creating and packaging systems. </p>"
SuperTest ,assess,language-and-frameworks,FALSE,<p>Super-agent driven library for testing node.js HTTP servers using a fluent API</p> 
Spring Framework,adopt,language-and-frameworks,FALSE,"<p>The Spring Framework is an application framework and inversion of control container for the Java platform. The framework's core features can be used by any Java application, but there are extensions for building web applications on top of the Java EE (Enterprise Edition) platform.</p> "
Hibernate,assess,language-and-frameworks,FALSE,"<p>Hibernate ORM (Hibernate in short) is an object-relational mapping tool for the Java programming language. It provides a framework for mapping an object-oriented domain model to a relational database. Hibernate handles object-relational impedance mismatch problems by replacing direct, persistent database accesses with high-level object handling functions.</p> "
Spark Framework ,hold,language-and-frameworks,FALSE,"<p>Spark Framework is a simple and expressive Java/Kotlin web framework DSL built for rapid development. Sparks intention is to provide an alternative for Kotlin/Java developers that want to develop their web applications as expressive as possible and with minimal boilerplate. With a clear philosophy Spark is designed not only to make you more productive, but also to make your code better under the influence of Spark’s sleek, declarative and expressive syntax.</p> "
Reactor,assess,language-and-frameworks,FALSE,"<p>Alongside HTML and CSS, JavaScript is one of the core technologies of the World Wide Web. JavaScript enables interactive web pages and is an essential part of web applications. </p>"
Resilience4j,trial,language-and-frameworks,FALSE,"<p><a href=""https://github.com/resilience4j/resilience4j""><strong>Resilience4j</strong></a> is a lightweight fault tolerance library inspired by Netflix <a href=""/radar/tools/hystrix"">Hystrix</a>. We like its lightweight and modular structure where we pull in specific modules for specific capabilities such as circuit-breaking, rate-limiting, retry, and bulkhead. While <a href=""/radar/techniques/service-mesh"">service meshes</a> are taking on some of the fault tolerance capabilities, fault tolerance libraries continue to remain a key component of our systems for more nuanced domain-specific fault tolerance behavior and for non-containerized services. With Hystrix going into <a href=""https://github.com/Netflix/Hystrix/commit/a7df971cbaddd8c5e976b3cc5f14013fe6ad00e6#diff-04c6e90faac2675aa89e2176d2eec7d8"">maintenance mode</a>, Resilience4j becomes a default choice in the Java ecosystem. It can work with synchronous APIs as well as reactive ones. It also surfaces metrics to <a href=""https://metrics.dropwizard.io/4.0.0/"">dropwizard metrics</a>, <a href=""/radar/tools/prometheus"">Prometheus</a> and others using additional modules.</p> "
WebFlux,adopt,language-and-frameworks,FALSE,"<p><strong><a href=""https://docs.spring.io/spring/docs/current/spring-framework-reference/web-reactive.html"">WebFlux</a></strong> is the Spring Framework implementation of <a href=""https://www.reactive-streams.org/"">Reactive Streams</a>. We see a rise in reactive programming models across our teams in general and the use of WebFlux in teams who are working in the Spring ecosystem. It's best used in large microservices ecosystems where the high performance of the requests is a major concern. It allows overlapping request processing asynchronously without the complications of using multiple threads. WebFlux uses <a href=""https://github.com/reactor/reactor"">Reactor</a> as its reactive library but it is interoperable with other reactive libraries via Reactive Streams. It uses <a href=""https://netty.io/"">Netty</a> as its underlying high-performance communications engine. Although we encourage using Reactive Streams, adopting this programming model requires a significant shift in thinking.</p> "
React Native,hold,platforms,FALSE,"<p><b>React Native</b> is an open source platform for developing native mobile applications; it was developed largely by a team at Facebook. The cool part of working with React Native is that your program uses standard web technologies like JavaScript (JSX), CSS, and HTML, yet your application is fully native. In other words, your application is fast and smooth, and it is equivalent to any native application built using traditional iOS technologies like Objective-C and Swift. However, React Native does not compromise in terms of performance and overall experience, like popular hybrid frameworks that use web technologies to build iOS apps. </p>"
RDS - SQLServer,hold,platforms,FALSE,"<p>Amazon RDS is a distributed relational database service by Amazon Web Services (AWS). SQL Server is a relational database management system developed by Microsoft. Amazon RDS for SQL Server makes it easy to set up, operate, and scale SQL Server deployments in the cloud. With Amazon RDS, you can deploy multiple editions of SQL Server (2012, 2014, 2016, 2017 and 2019) including Express, Web, Standard and Enterprise, in minutes with cost-efficient and re-sizable compute capacity. Amazon RDS frees you up to focus on application development by managing time-consuming database administration tasks including provisioning, backups, software patching, monitoring, and hardware scaling</p> "
RDS - Oracle,hold,platforms,FALSE,"<p>Amazon RDS for Oracle is a fully managed commercial database that makes it easy to set up, operate, and scale Oracle deployments in the cloud. Amazon RDS frees you up to focus on innovation and application development by managing time-consuming database administration tasks including provisioning, backups, software patching, monitoring, and hardware scaling. You can run Amazon RDS for Oracle under two different licensing models � �License Included� and �Bring-Your-Own-License (BYOL)�. In the ""License Included"" service model, you do not need separately purchased Oracle licenses; the Oracle Database software has been licensed by AWS.</p> "
RDS - MySQL,trial,platforms,FALSE,"<p>With Amazon RDS, you can deploy scalable MySQL servers in minutes with cost-efficient and resizable hardware capacity. Amazon RDS for MySQL frees you up to focus on application development by managing time-consuming database administration tasks including backups, software patching, monitoring, scaling and replication. Amazon RDS supports MySQL Community Edition versions 5.6, 5.7, and 8.0 which means that the code, applications, and tools you already use today can be used with Amazon RDS</p> "
RDS - Postgres,trial,platforms,FALSE,"<p>PostgreSQL has become the preferred open source relational database for many enterprise developers and start-ups, powering leading business and mobile applications. Amazon RDS makes it easy to set up, operate, and scale PostgreSQL deployments in the cloud. With Amazon RDS, you can deploy scalable PostgreSQL deployments in minutes with cost-efficient and resizable hardware capacity. Amazon RDS manages complex and time-consuming administrative tasks such as PostgreSQL software installation and upgrades; storage management; replication for high availability and read throughput; and backups for disaster recovery.</p> "
Amazon Aurora,trial,platforms,FALSE,"<p><b>Amazon Aurora</b> is a MySQL and PostgreSQL-compatible relational database built for the cloud, that combines the performance and availability of traditional enterprise databases with the simplicity and cost-effectiveness of open source databases.<br>Know more <a href=""https://aws.amazon.com/rds/aurora/?nc1=h_ls&aurora-whats-new.sort-by=item.additionalFields.postDateTime&aurora-whats-new.sort-order=desc"">here</a> </p>"
Mongo DB,trial,platforms,FALSE,"<p>MongoDB is a document database, which means it stores data in JSON-like documents. We believe this is the most natural way to think about data, and is much more expressive and powerful than the traditional row/column model.<br> MongoDB is a true data platform with a comprehensive suite of tools to make working with data remarkably easy for everyone, from developers to analysts to data scientists.<br >Know more <a href=""https://docs.mongodb.com/manual/"">here</a> </p>"
Datical DB,assess,platforms,FALSE,<p>Datical DB for SQL database improves and simplifies the application release process by automating database management.</p>
Kinesis,assess,platforms,FALSE,"<p> Amazon Kinesis makes it easy to collect, process, and analyze real-time, streaming data so you can get timely insights and react quickly to new information. Amazon Kinesis enables you to process and analyze data as it arrives and respond instantly instead of having to wait until all your data is collected before the processing can begin.  </p> "
AWS IoT Core,trial,platforms,FALSE,"<p> AWS IoT Core lets you connect IoT devices to the AWS cloud without the need to provision or manage servers. AWS IoT Core can support billions of devices and trillions of messages, and can process and route those messages to AWS endpoints and to other devices reliably and securely. With AWS IoT Core, your applications can keep track of and communicate with all your devices, all the time, even when they aren't connected </p> "
DocumentDB,trial,platforms,FALSE,"<p> Amazon DocumentDB (with MongoDB compatibility) is a fast, scalable, highly available, and fully managed document database service that supports MongoDB workloads. As a document database, Amazon DocumentDB makes it easy to store, query, and index JSON data </p> "
QLDB,trial,platforms,FALSE,"<p>  Amazon Quantum Ledger Database (Amazon QLDB) is a fully managed ledger database that provides a transparent, immutable, and cryptographically verifiable transaction log owned by a central trusted authority. You can use Amazon QLDB to track all application data changes, and maintain a complete and verifiable history of changes over time.</p>  "
ElastiCache (Memcached),trial,platforms,FALSE,"<p>Amazon ElastiCache offers fully managed Redis and Memcached. Seamlessly deploy, run, and scale popular open source compatible in-memory data stores. Build data-intensive apps or improve the performance of your existing apps by retrieving data from high throughput and low latency in-memory data stores</p> "
Amazon MQ (Active MQ),trial,platforms,FALSE,"<p> Amazon MQ is a managed message broker service for Apache ActiveMQ and RabbitMQ that makes it easy to set up and operate message brokers on AWS. Amazon MQ reduces your operational responsibilities by managing the provisioning, setup, and maintenance of message brokers for you. Because Amazon MQ connects to your current applications with industry-standard APIs and protocols, you can easily migrate to AWS without having to rewrite code. </p> "
EC2,assess,platforms,FALSE,"<p> Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud. It is designed to make web-scale cloud computing easier for developers. Amazon EC2's simple web service interface allows you to obtain and configure capacity with minimal friction. It provides you with complete control of your computing resources and lets you run on Amazon's proven computing environment </p> "
API Gateway,trial,platforms,FALSE,"<p> Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale. APIs act as the ""front door"" for applications to access data, business logic, or functionality from your backend services. Using API Gateway, you can create RESTful APIs and WebSocket APIs that enable real-time two-way communication applications. API Gateway supports containerized and serverless workloads, as well as web applications </p> "
SQS/SNS,assess,platforms,FALSE,"<p> Amazon Simple Queue Service (SQS) is a fully managed message queuing service that enables you to decouple and scale microservices, distributed systems, and serverless applications.  The A2A pub/sub functionality provides topics for high-throughput, push-based, many-to-many messaging between distributed systems, microservices, and event-driven serverless applications. Using Amazon SNS topics, your publisher systems can fanout messages to a large number of subscriber systems </p> "
Amazon Athena,assess,platforms,FALSE,"<p> Amazon Athena is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL. Athena is serverless, so there is no infrastructure to manage, and you pay only for the queries that you run </p> "
QuickSight,assess,platforms,FALSE,"<p> Amazon QuickSight is a scalable, serverless, embeddable, machine learning-powered business intelligence (BI) service built for the cloud. QuickSight lets you easily create and publish interactive BI dashboards that include Machine Learning-powered insights. QuickSight dashboards can be accessed from any device, and seamlessly embedded into your applications, portals, and websites. </p> "
Amazon MQ (RabbitMQ),assess,platforms,FALSE,"<p> Amazon MQ is a managed message broker service for Apache ActiveMQ and RabbitMQ that makes it easy to set up and operate message brokers on AWS. Amazon MQ reduces your operational responsibilities by managing the provisioning, setup, and maintenance of message brokers for you. Because Amazon MQ connects to your current applications with industry-standard APIs and protocols, you can easily migrate to AWS without having to rewrite code. </p> "
Cloudwatch,assess,platforms,FALSE,"<p> Amazon CloudWatch is a monitoring and observability service built for DevOps engineers, developers, site reliability engineers (SREs), and IT managers. CloudWatch provides you with data and actionable insights to monitor your applications, respond to system-wide performance changes, optimize resource utilization, and get a unified view of operational health. CloudWatch collects monitoring and operational data in the form of logs, metrics, and events, providing you with a unified view of AWS resources, applications, and services that run on AWS and on-premises servers</p> "
WAF,assess,platforms,FALSE,"<p> AWS WAF is a web application firewall that helps protect your web applications or APIs against common web exploits that may affect availability, compromise security, or consume excessive resources. AWS WAF gives you control over how traffic reaches your applications by enabling you to create security rules that block common attack patterns, such as SQL injection or cross-site scripting, and rules that filter out specific traffic patterns you define </p> "
Starc,assess,platforms,FALSE,"<p> STARC Simulation and Testing Cloud � SSTC, allows engineers to test, validate, and optimize product/software designs via a high-availability real-time cloud platform</p> "
DynamoDB,assess,platforms,FALSE,"<p>Amazon DynamoDB is a fully managed proprietary NoSQL database service that supports key-value and document data structures and is offered by Amazon.com as part of the Amazon Web Services portfolio. DynamoDB exposes a similar data model to and derives its name from Dynamo, but has a different underlying implementation. Dynamo had a multi-master design requiring the client to resolve version conflicts and DynamoDB uses synchronous replication across multiple data centers for high durability and availability. </p> "
ElastiCache (Redis),assess,platforms,FALSE,"<p>Amazon ElastiCache offers fully managed Redis and Memcached. Seamlessly deploy, run, and scale popular open source compatible in-memory data stores. Build data-intensive apps or improve the performance of your existing apps by retrieving data from high throughput and low latency in-memory data stores</p> "
Secrets Manager AWS,adopt,platforms,FALSE,"<p>AWS Secrets Manager helps you protect secrets needed to access your applications, services, and IT resources. The service enables you to easily rotate, manage, and retrieve database credentials, API keys, and other secrets throughout their lifecycle. Users and applications retrieve secrets with a call to Secrets Manager APIs, eliminating the need to hardcode sensitive information in plain text. </p> "
ELB - ALB,adopt,platforms,FALSE,<p>Elastic Load Balancing (ELB) is a load-balancing service for Amazon Web Services (AWS) deployments. ELB automatically distributes incoming application traffic and scales resources to meet traffic demands</p> 
EKS,adopt,platforms,FALSE,"<p>Amazon Elastic Kubernetes Service (Amazon EKS) makes it easy to deploy, manage, and scale containerized applications using Kubernetes on AWS. Amazon EKS runs the Kubernetes management infrastructure for you across multiple AWS availability zones to eliminate a single point of failure</p> "
S3,adopt,platforms,FALSE,"<p>Amazon S3 or Amazon Simple Storage Service is a service offered by Amazon Web Services (AWS) that provides object storage through a web service interface. Amazon S3 uses the same scalable storage infrastructure that Amazon.com uses to run its global e-commerce network. Amazon S3 can be employed to store any type of object which allows for uses like storage for Internet applications, backup and recovery, disaster recovery, data archives, data lakes for analytics, and hybrid cloud storage  In its service-level agreement</p> "
CloudFront,adopt,platforms,FALSE,"<p>Amazon CloudFront is a content delivery network (CDN) offered by Amazon Web Services. Content delivery networks provide a globally-distributed network of proxy servers which cache content, such as web videos or other bulky media, more locally to consumers, thus improving access speed for downloading the content</p> "
API Connect,adopt,platforms,FALSE,"<p>IBM API Management(with version 5 renamed to IBM API Connect) is an API Management platform for use in the API Economy. IBM API Connect enables users to create, assemble, manage, secure and socialize web application programming interfaces (APIs).It provides a developer portal for application developers and to view published APIs. An administration portal allows users to establish policies for APIs such as self-registration, quotas, key management and security policies. An analytics engine provides role-based analytics for API owners, solution administrators and application developers in order to manage APIs and ensure service levels are being achieved</p> "
AADP,adopt,platforms,FALSE,"<p>Microsoft Azure Active Directory is a comprehensive identity and access management cloud solution that combines core directory services, application access management, and advanced identity protection</p> "
Docker,adopt,platforms,FALSE,"<p>Docker is a tool designed to make it easier to create, deploy, and run applications by using containers. Containers allow a developer to package up an application with all of the parts it needs, such as libraries and other dependencies, and ship it all out as one package. By doing so, thanks to the container, the developer can rest assured that the application will run on any other Linux machine regardless of any customized settings that machine might have that could differ from the machine used for writing and testing the code.</p> "
Azure DevOps,adopt,platforms,FALSE,<p> Azure DevOps is the evolution of VSTS (Visual Studio Team Services). It is the result of years of using their own tools and developing a process for building and delivering products in an efficient and effective way. </p> 
Dynatrace,adopt,platforms,FALSE,"<p>Dynatrace is a software intelligence company providing application performance management (APM), artificial intelligence for operations (AIOps), cloud infrastructure monitoring, and digital experience management (DEM), with products for the information technology departments and digital business owners of medium and large businesses</p> "
Istio,adopt,platforms,FALSE,"<p><strong><a href=""https://istio.io/"">Istio</a></strong> is becoming the  factor of  infrastructure to operationalize a <a href=""https://martinfowler.com/articles/microservices.html"">microservices</a> ecosystem. Its out-of-the-box implementation of cross-cutting concerns — such as service discovery, service-to-service and origin-to-service security, observability (including telemetry and distributed tracing), rolling releases and resiliency — has been bootstrapping our microservices implementations very quickly. It's the main implementation of the <a href=""/radar/techniques/service-mesh"">service mesh</a> technique we've been using. We've been enjoying its monthly releases and its continuous improvements with seamless upgrades. We use Istio to bootstrap our projects, starting with observability (tracing and telemetry) and service-to-service security. We're closely watching its improvements to service-to-service authentication everywhere in and outside of the mesh. We'd also like to see Istio establish best practices for configuration files to strike a balance between giving autonomy to service developers and control to the service mesh operators.</p> "
Kobiton,assess,platforms,FALSE,"<p><b>Kobiton</b> is a mobile device testing platform that accelerates the testing and delivery of mobile applications by offering live device testing in the cloud, or on-premise.<br> Know more <a href=""https://kobiton.com"">here</a> </p>"
Artifactory,adopt,platforms,FALSE,"<p><b>JFrog Artifactory</b> is a universal DevOps solution providing end-to-end automation and management of binaries and artifacts through the application delivery process that improves productivity across your development ecosystem. It enables freedom of choice supporting 25+ software build packages, all major CI/CD platforms, and DevOps tools you already use. Artifactory is Kubernetes ready supporting containers, Docker, Helm Charts, and is your Kubernetes and Docker registry and comes with full CLI and REST APIs customizable to your ecosystem.<br>Know more <a href=""https://www.jfrog.com/confluence/display/JFROG/JFrog+Artifactory"">here</a> </p>"
Sonar,adopt,platforms,FALSE,"<p><b>SonarQube®</b> is an automatic code review tool to detect bugs, vulnerabilities, and code smells in your code. It can integrate with your existing workflow to enable continuous code inspection across your project branches and pull requests.<br> Know more <a href=""https://docs.sonarqube.org/latest/"">here</a> </p>"
Kiuwan,adopt,platforms,FALSE,"<p><b>Kiuwan</b> is an End-to-end application security platform for every stage and all the stakeholders in the SDLC. OWASP, CWE, PCI-DSS, NIST. It is useful as Security Solutions for DevOps Process, giving an Effective static application security testing and software composition analysis. Also, it is an affordable solutions for teams of all sizes.<br >Know more <a href=""https://www.kiuwan.com"">here</a> </p>"
OpenShift,trial,platforms,FALSE,"<p><b>OpenShift</b> is a Kubernetes superset combining over 200 open source projects into a fully integrated solution with strong focus on a developer experience, operational capabilities, monitoring, and management with strong and secure defaults. All these while being pluggable so platform admins can replace out of the box components and services with their own.<br >Know more <a href=""https://www.openshift.com"">here</a> </p>"
AWS CodeDeploy,trial,platforms,FALSE,"<p><b>AWS CodeDeploy</b> is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Fargate, AWS Lambda, and your on-premises servers. AWS CodeDeploy makes it easier for you to rapidly release new features, helps you avoid downtime during application deployment, and handles the complexity of updating your applications. You can use AWS CodeDeploy to automate software deployments, eliminating the need for error-prone manual operations. The service scales to match your deployment needs.<br >Know more <a href=""https://www.openshift.com"">here</a> </p>"
HokeyApp,assess,platforms,FALSE,"<p><b>HockeyApp</b> is a service that allows developers to recruit and manage testers, distribute apps, and collect crash reports, among other things. It started out as a way to install beta apps on iOS devices, a process that Apple calls “ad hoc” distribution, or installing apps outside of the official App Store. From the words ad hoc, it was named Hockey. Currently, the project was retired.<br> Know more <a href=""https://devblogs.microsoft.com/appcenter/hockeyapp-is-being-retired/"">here</a> </p>"
